category_scores/Asymmetric/score,category_scores/Covert/score,category_scores/Deceptive/score,category_scores/Hides Information/score,category_scores/Restrictive/score,overall_assessment/total_score,overall_assessment/max_possible_score,overall_assessment/summary,website,category_scores/Asymmetric/analysis,category_scores/Covert/analysis,category_scores/Deceptive/analysis,category_scores/Hides Information/analysis,category_scores/Restrictive/analysis
7,4,3,6,5,25,50,"The website demonstrates several dark patterns, notably in the Asymmetric and Hides Information categories. While the choices are more skewed, the information is somewhat hidden, and there are mild restrictions guiding user actions.",Amazon,,,,,
4,3,2,3,2,14,50,"The website shows mild dark patterns. The options are reasonably presented with slight biases. There are subtle influences in the design, but no significant deception or highly restricted choices. Some information requires extra steps to access but isn’t substantially hidden.",eBay,,,,,
,,,,,,,,Walmart,,,,,
3,4,3,4,2,16,50,"The website employs a moderate level of dark patterns. While options and information are generally available and do not heavily mislead the user, there is some mild bias in the presentation of choices and slight use of covert design elements.",Alibaba,,,,,
6,4,3,5,3,21,50,"The website shows a medium level of dark patterns, with noticeable bias in the presentation favoring the sale and somewhat hidden details about the offer. While it does have some restrictive and covert elements, the level of deception is relatively low.",Target,,,,,
,,,,,,,,Best Buy,,,,,
6,5,4,6,3,24,50,"The website exhibits moderate usage of dark patterns. The presentation is somewhat biased towards certain choices, with more prominent buttons for specific actions. Some design elements subtly influence user choices, and certain information requires additional steps to be accessed. However, the website does not impose extreme restrictions on user actions.",Flipkart,,,,,
,,,,,,,,Rakuten,,,,,
,,,,,,,,MercadoLibre,,,,,
,,,,,,,,Zalando,,,,,
,,,,,,,,JD.com,,,,,
6,5,3,7,4,25,50,"The website has a moderately biased presentation and shows some elements of hidden influences or missing information, particularly in the Harrying Information category. Users are not heavily restricted, but there are some limitations and information is not always presented transparently.",Shopify,,,,,
,,,,,,,,Newegg,,,,,
5,4,2,3,5,19,50,"The website uses moderate dark patterns. The presentation is slightly biased with some inconvenience for users. No significant misleading information is present, but there are mild restrictions and minor information delay.",Wayfair,,,,,
1,0,1,2,2,6,50,"The website does not exhibit significant dark patterns based on this 'Access Denied' error page. The lack of access does restrict user interaction, and some necessary information may be hidden, but there is no evidence of asymmetric or covert manipulation.",ASOS,,,,,
,,,,,,,,Overstock,,,,,
,,,,,,,,Etsy,,,,,
7,4,6,7,8,32,50,"The website exhibits multiple dark patterns, particularly in the Asymmetric, Hides Information, and Restrictive categories. The presentation of choices is noticeably biased, with significant information hidden behind pop-ups and banners. User experience is somewhat manipulated to push notifications and certain actions.",Aliexpress,,,,,
6,5,4,7,6,28,50,"The website exhibits several dark patterns, with particularly evident scores in Asymmetric and Hides Information categories. The presentation of user choice options tends to be biased, with significant information often being harder to access.",Wish,,,,,
6,5,4,7,7,29,50,"The website demonstrates several dark patterns, especially in Hides Information and Restrictive categories. There is a noticeable bias in presentation, some covert design elements influencing user choices, and important information is somewhat obscured or delayed.",Home Depot,,,,,
0,0,0,0,0,0,50,"The website is currently unreachable due to an ERR_HTTP2_PROTOCOL_ERROR. Since content from the website could not be loaded, it is not possible to analyze any potential dark patterns.",Lowes,,,,,
6,3,4,6,4,23,50,"The website employs some dark patterns, particularly in Asymmetric and Hides Information categories. While the presentation is slightly biased, and some important information is not immediately clear, user decisions are not heavily manipulated or overly restricted.",IKEA,,,,,
5,6,6,8,8,33,50,"The website displays several dark patterns particularly in Hides Information and Restrictive categories. Access to the page is denied without clear information on why, indicating deceptive and asymmetric presentation. Crucial information is hidden or obscured, resulting in a restrictive user experience.",Macy's,,,,,
0,0,0,0,0,0,50,"The screenshot indicates that the website is not reachable due to an HTTP protocol error. Therefore, no dark patterns can be analyzed or identified in this state.",Costco,,,,,
,,,,,,,,Sam's Club,,,,,
5,3,4,6,3,21,50,"The Sears website shows some use of dark patterns, though not overly manipulative. The most noticeable issues include mild asymmetry in presenting choices and hiding additional information under extra steps. The cookie notice is clearly displayed, though subtle. Most elements aren't deceptive or restrictive, offering users a reasonable browsing experience.",Sears,,,,,
,,,,,,,,Kohl's,,,,,
4,3,5,6,7,25,50,"The website displays several dark patterns with mid-range scores across categories. It is somewhat biased in presentation, and some information is not immediately visible or requires additional actions to uncover. There are noticeable restrictions on user actions, making it less transparent and more restrictive than ideal.",Nordstrom,,,,,
4,2,2,3,2,13,50,"The website has a generally fair presentation with minor elements of dark patterns. The asymmetry score reflects some prominence given to sales, but choices are still reasonably balanced. There are minor elements where information could be more transparent, but overall, the design does not heavily manipulate or restrict the user.",Toys R Us,,,,,
5,2,3,4,5,19,50,"The website uses some dark patterns, particularly in the Asymmetric and Restrictive categories. The presentation could be perceived as slightly biased, and some information is delayed or requires additional steps to access.",Apple,,,,,
7,4,3,5,2,21,50,"The website features a noticeable bias in favor of accepting cookies with equal prominence given to the Accept and Reject buttons, although 'Manage cookies' provides detailed control. Some minor covert techniques are used to subtly influence user decisions. The presentation is mostly straightforward, with minimal deceptive information or significant restrictions. Certain information is a bit delayed but not crucially hidden.",Microsoft Store,,,,,
,,,,,,,,Dell,,,,,
,,,,,,,,HP,,,,,
3,2,2,4,2,13,50,The website uses minimal dark patterns. There is a slight emphasis on promoting the business membership with an exclusive offer which could be seen as mildly asymmetric. Some information about the benefits of the membership is not immediately clear which affects the scores for Hides Information and Asymmetric categories.,Lenovo,,,,,
5,3,4,4,2,18,50,"The website employs some dark patterns, with a noticeable bias in the presentation of choices. There are some elements of subtle influence on user decisions and occasional obscuration of information; however, the site is generally not overly restrictive.",Nike,,,,,
