category_scores/Asymmetric/score,category_scores/Covert/score,category_scores/Deceptive/score,category_scores/Hides Information/score,category_scores/Restrictive/score,overall_assessment/total_score,overall_assessment/max_possible_score,overall_assessment/summary,website
4,3,3,2,1,13,50,"The website demonstrates a few mild dark patterns. The notable patterns include a slight preference for users to change the delivery address over dismissing the prompt, subtly influencing user choices. However, essential information is accessible with minimal restriction on user actions.",Amazon
5,6,4,7,5,27,50,"The website employs a number of dark patterns, with particularly notable scores in the Hides Information and Covert categories. While important information is present, it is often delayed or somewhat hidden, and some design elements subtly steer user choices.",eBay
6,5,4,5,7,27,50,"The website employs several dark patterns, with moderately high scores in Asymmetric and Restrictive categories. The robot-human confirmation method significantly disrupts the user's flow and is somewhat restrictive without providing alternative easier verification methods. Information hiding is present but not highly pronounced.",Walmart
,,,,,,,,Alibaba
3,2,4,5,1,15,50,"The website displays a sale prominently, but has mostly transparent navigation and information. There is a slight tendency towards asymmetric design favoring the sale, and some information might require extra steps to be fully understood.",Target
,,,,,,,,Best Buy
,,,,,,,,Flipkart
,,,,,,,,Rakuten
2,1,1,1,1,6,50,"The website provides a straightforward choice of different countries with no significant use of dark patterns. The design presents country options equally without bias. There is no misleading information, covert influences, hiding information, or restricting user choices in a meaningful way.",MercadoLibre
2,0,0,2,4,8,50,"The website displays a list of countries where its services are available. It features relatively minimal dark patterns, with a slightly higher score in the Restrictive category due to the geographic limitations of their services. Information is mostly transparent and options are clearly presented without misleading elements.",Zalando
,,,,,,,,JD.com
,,,,,,,,Shopify
,,,,,,,,Newegg
,,,,,,,,Wayfair
,,,,,,,,ASOS
5,6,4,6,3,24,50,"The website employs several dark patterns, with higher scores in the Covert and Hides Information categories. The presentation is somewhat biased, and certain important information might be delayed or requires additional steps to access.",Overstock
5,6,4,7,9,31,50,"The website employs several dark patterns, with particularly high scores in Restrictive and Hides Information categories. The presented message is somewhat opaque, providing limited explanations and means of redress, which can confuse and frustrate users.",Etsy
8,6,5,7,5,31,50,"The website employs several dark patterns with high prominence given to certain actions over others. The use of pop-ups and promotional overlays subtly influences user choices. Information about sales and offers is often highlighted, but detailed terms and important information can be harder to find.",Aliexpress
,,,,,,,,Wish
6,5,4,7,3,25,50,"The website shows some use of dark patterns, particularly in the Asymmetric and Hides Information categories. The presentation is slightly biased, with important information being somewhat obscured or only accessible after additional steps. While these patterns are noticeable, they are not extremely restrictive or misleading.",Home Depot
0,0,0,0,0,0,50,"The webpage cannot be reached due to an HTTP2 protocol error. Therefore, no analysis of dark patterns can be performed.",Lowes
7,5,4,6,3,25,50,"The website employs several dark patterns, particularly in the Asymmetric and Hides Information categories. While the information about cookies is transparent, the unequal prominence of cookie choices suggests manipulation, leading users to accept all cookies more easily. There are some covert and deceptive elements, but they are more subtle.",IKEA
,,,,,,,,Macy's
0,0,0,0,0,0,50,"The website cannot be reached due to a protocol error (ERR_HTTP2_PROTOCOL_ERROR). As there is no content to analyze, there are no dark patterns present.",Costco
