website,category_scores/Asymmetric/iteration_1,category_scores/Covert/iteration_1,category_scores/Deceptive/iteration_1,category_scores/Hides Information/iteration_1,category_scores/Restrictive/iteration_1,overall_assessment/total_score/iteration_1,overall_assessment/max_possible_score,overall_assessment/summary/iteration_1,category_scores/Asymmetric/iteration_2,category_scores/Covert/iteration_2,category_scores/Deceptive/iteration_2,category_scores/Hides Information/iteration_2,category_scores/Restrictive/iteration_2,overall_assessment/total_score/iteration_2,overall_assessment/summary/iteration_2,category_scores/Asymmetric/iteration_3,category_scores/Covert/iteration_3,category_scores/Deceptive/iteration_3,category_scores/Hides Information/iteration_3,category_scores/Restrictive/iteration_3,overall_assessment/total_score/iteration_3,overall_assessment/summary/iteration_3
Amazon,7,4,3,6,5,25,50,"The website demonstrates several dark patterns, notably in the Asymmetric and Hides Information categories. While the choices are more skewed, the information is somewhat hidden, and there are mild restrictions guiding user actions.",4,3,3,2,1,13,"The website demonstrates a few mild dark patterns. The notable patterns include a slight preference for users to change the delivery address over dismissing the prompt, subtly influencing user choices. However, essential information is accessible with minimal restriction on user actions.",,,,,,,
eBay,4,3,2,3,2,14,50,"The website shows mild dark patterns. The options are reasonably presented with slight biases. There are subtle influences in the design, but no significant deception or highly restricted choices. Some information requires extra steps to access but isn’t substantially hidden.",5,6,4,7,5,27,"The website employs a number of dark patterns, with particularly notable scores in the Hides Information and Covert categories. While important information is present, it is often delayed or somewhat hidden, and some design elements subtly steer user choices.",5,3,4,3,2,17,"The website shows some mild to moderate use of dark patterns. The visual prominence of some promotional elements may bias user decisions slightly, and there are mild attempts at influencing decisions through design. However, there are no severe restrictive elements, and necessary information is generally accessible."
Walmart,,,,,,,,,6,5,4,5,7,27,"The website employs several dark patterns, with moderately high scores in Asymmetric and Restrictive categories. The robot-human confirmation method significantly disrupts the user's flow and is somewhat restrictive without providing alternative easier verification methods. Information hiding is present but not highly pronounced.",,,,,,,
Alibaba,3,4,3,4,2,16,50,"The website employs a moderate level of dark patterns. While options and information are generally available and do not heavily mislead the user, there is some mild bias in the presentation of choices and slight use of covert design elements.",,,,,,,,4,3,2,5,2,16,"The website employs some dark patterns, with moderately high scores in the Asymmetric and Hides Information categories. The presentation shows slight bias, and some information requires additional steps to access."
Target,6,4,3,5,3,21,50,"The website shows a medium level of dark patterns, with noticeable bias in the presentation favoring the sale and somewhat hidden details about the offer. While it does have some restrictive and covert elements, the level of deception is relatively low.",3,2,4,5,1,15,"The website displays a sale prominently, but has mostly transparent navigation and information. There is a slight tendency towards asymmetric design favoring the sale, and some information might require extra steps to be fully understood.",6,4,5,7,3,25,"The website has a few dark patterns, with a significant score in the Hides Information category. The presentation favors certain choices noticeably, somewhat employs covert techniques, and provides slightly misleading information. However, it is not overly restrictive."
Best Buy,,,,,,,,,,,,,,,,2,2,2,3,3,12,"The website employs minor dark patterns. The choices for selecting the country are visually equal and prominently displayed. There is a slight tendency to hide information regarding international shopping options, which requires an extra click to 'See More Details'. However, overall user decisions are not heavily manipulated or restricted."
Flipkart,6,5,4,6,3,24,50,"The website exhibits moderate usage of dark patterns. The presentation is somewhat biased towards certain choices, with more prominent buttons for specific actions. Some design elements subtly influence user choices, and certain information requires additional steps to be accessed. However, the website does not impose extreme restrictions on user actions.",,,,,,,,,,,,,,
Rakuten,,,,,,,,,,,,,,,,,,,,,,
MercadoLibre,,,,,,,,,2,1,1,1,1,6,"The website provides a straightforward choice of different countries with no significant use of dark patterns. The design presents country options equally without bias. There is no misleading information, covert influences, hiding information, or restricting user choices in a meaningful way.",,,,,,,
Zalando,,,,,,,,,2,0,0,2,4,8,"The website displays a list of countries where its services are available. It features relatively minimal dark patterns, with a slightly higher score in the Restrictive category due to the geographic limitations of their services. Information is mostly transparent and options are clearly presented without misleading elements.",,,,,,,
JD.com,,,,,,,,,,,,,,,,,,,,,,
Shopify,6,5,3,7,4,25,50,"The website has a moderately biased presentation and shows some elements of hidden influences or missing information, particularly in the Harrying Information category. Users are not heavily restricted, but there are some limitations and information is not always presented transparently.",,,,,,,,6,4,3,5,7,25,"The website demonstrates moderate use of dark patterns. It shows a particularly noticeable bias towards the 'Start free trial' action, and some information is slightly delayed or less prominent. There's also a degree of restriction pushing the user towards specific actions."
Newegg,,,,,,,,,,,,,,,,7,5,3,4,4,23,"The website exhibits some dark patterns, particularly in terms of asymmetry, where choices are biased to encourage users to go to the Canadian site. There are subtle influences in the design, such as the default option to go to the Canadian site being more prominently displayed. However, information is fairly transparent and not overly restrictive in terms of user choice."
Wayfair,5,4,2,3,5,19,50,"The website uses moderate dark patterns. The presentation is slightly biased with some inconvenience for users. No significant misleading information is present, but there are mild restrictions and minor information delay.",,,,,,,,,,,,,,
ASOS,1,0,1,2,2,6,50,"The website does not exhibit significant dark patterns based on this 'Access Denied' error page. The lack of access does restrict user interaction, and some necessary information may be hidden, but there is no evidence of asymmetric or covert manipulation.",,,,,,,,,,,,,,
Overstock,,,,,,,,,5,6,4,6,3,24,"The website employs several dark patterns, with higher scores in the Covert and Hides Information categories. The presentation is somewhat biased, and certain important information might be delayed or requires additional steps to access.",8,5,3,6,6,28,"The website exhibits several dark patterns. The presentation is noticeably biased towards signing up for emails, with significant emphasis on the benefits without equivalent prominence to declining. Some information is only available after interaction, and alternative actions are somewhat restricted."
Etsy,,,,,,,,,5,6,4,7,9,31,"The website employs several dark patterns, with particularly high scores in Restrictive and Hides Information categories. The presented message is somewhat opaque, providing limited explanations and means of redress, which can confuse and frustrate users.",,,,,,,
Aliexpress,7,4,6,7,8,32,50,"The website exhibits multiple dark patterns, particularly in the Asymmetric, Hides Information, and Restrictive categories. The presentation of choices is noticeably biased, with significant information hidden behind pop-ups and banners. User experience is somewhat manipulated to push notifications and certain actions.",8,6,5,7,5,31,"The website employs several dark patterns with high prominence given to certain actions over others. The use of pop-ups and promotional overlays subtly influences user choices. Information about sales and offers is often highlighted, but detailed terms and important information can be harder to find.",7,5,6,7,8,33,"The website employs several dark patterns. The presentation is biased with important information obscured by overly prominent promotions and pop-ups. The user is subtly influenced with notifications and promotional material, and the alternatives are less prominent and not as visually engaging."
Wish,6,5,4,7,6,28,50,"The website exhibits several dark patterns, with particularly evident scores in Asymmetric and Hides Information categories. The presentation of user choice options tends to be biased, with significant information often being harder to access.",,,,,,,,,,,,,,
Home Depot,6,5,4,7,7,29,50,"The website demonstrates several dark patterns, especially in Hides Information and Restrictive categories. There is a noticeable bias in presentation, some covert design elements influencing user choices, and important information is somewhat obscured or delayed.",6,5,4,7,3,25,"The website shows some use of dark patterns, particularly in the Asymmetric and Hides Information categories. The presentation is slightly biased, with important information being somewhat obscured or only accessible after additional steps. While these patterns are noticeable, they are not extremely restrictive or misleading.",6,5,4,6,3,24,"The website displays several dark patterns, particularly in the categories of Asymmetric and Hides Information. The presentation of choices is somewhat biased, and important information is not always immediately clear. However, the site is less restrictive and deceptive compared to typical dark patterns."
Lowes,0,0,0,0,0,0,50,"The website is currently unreachable due to an ERR_HTTP2_PROTOCOL_ERROR. Since content from the website could not be loaded, it is not possible to analyze any potential dark patterns.",0,0,0,0,0,0,"The webpage cannot be reached due to an HTTP2 protocol error. Therefore, no analysis of dark patterns can be performed.",0,0,0,0,0,0,"The website could not be reached, so no assessment of dark patterns could be conducted."
IKEA,6,3,4,6,4,23,50,"The website employs some dark patterns, particularly in Asymmetric and Hides Information categories. While the presentation is slightly biased, and some important information is not immediately clear, user decisions are not heavily manipulated or overly restricted.",7,5,4,6,3,25,"The website employs several dark patterns, particularly in the Asymmetric and Hides Information categories. While the information about cookies is transparent, the unequal prominence of cookie choices suggests manipulation, leading users to accept all cookies more easily. There are some covert and deceptive elements, but they are more subtle.",7,5,4,6,6,28,"The website employs several dark patterns, with particularly high scores in the Asymmetric and Hides Information categories. There is a noticeable bias in presenting 'Accept all' in a visually prominent way, and information regarding cookie settings requires additional steps to access, which may impose some restrictions on user choices."
Macy's,5,6,6,8,8,33,50,"The website displays several dark patterns particularly in Hides Information and Restrictive categories. Access to the page is denied without clear information on why, indicating deceptive and asymmetric presentation. Crucial information is hidden or obscured, resulting in a restrictive user experience.",,,,,,,,,,,,,,
Costco,0,0,0,0,0,0,50,"The screenshot indicates that the website is not reachable due to an HTTP protocol error. Therefore, no dark patterns can be analyzed or identified in this state.",0,0,0,0,0,0,"The website cannot be reached due to a protocol error (ERR_HTTP2_PROTOCOL_ERROR). As there is no content to analyze, there are no dark patterns present.",0,0,0,0,0,0,"The website is currently unreachable due to an HTTP2 protocol error. Therefore, no analysis of dark patterns can be conducted."
Sam's Club,,,,,,,,,3,4,2,3,5,17,"The website demonstrates mild use of asymmetric and covert techniques, with relatively straightforward information. There are some restrictive elements with a button that necessitates user interaction, but nothing extremely limiting.",,,,,,,
Sears,5,3,4,6,3,21,50,"The Sears website shows some use of dark patterns, though not overly manipulative. The most noticeable issues include mild asymmetry in presenting choices and hiding additional information under extra steps. The cookie notice is clearly displayed, though subtle. Most elements aren't deceptive or restrictive, offering users a reasonable browsing experience.",5,4,5,6,3,23,"The website employs a few dark patterns. The presentation mildly favors certain choices, some design elements subtly influence user decisions, and information, though mostly available, can be delayed or obscured. There are slight restrictions, but reasonable alternatives are available.",5,4,6,7,3,25,"The website shows the use of several dark patterns, with particularly high scores in Hides Information and Deceptive categories. Visual presentation slightly favors certain actions over others, and some additional information requires further actions to access. The site is mildly restrictive and utilizes some covert techniques to subtly influence user choices."
Kohl's,,,,,,,,,,,,,,,,7,4,5,6,5,27,"The website displays several dark patterns, especially in the Asymmetric category, where promotional messages and membership calls-to-action dominate the user interface. Some elements, such as the conditions for promotional offers, are not fully transparent and require additional steps to uncover, contributing to moderate scores in the Covert and Hides Information categories. The level of restriction on user choices is moderate, with some alternatives available but not always prominently presented."
Nordstrom,4,3,5,6,7,25,50,"The website displays several dark patterns with mid-range scores across categories. It is somewhat biased in presentation, and some information is not immediately visible or requires additional actions to uncover. There are noticeable restrictions on user actions, making it less transparent and more restrictive than ideal.",5,4,3,6,7,25,The website employs some dark patterns. The presentation is slightly biased and important information regarding the unusual activity is partially obscured or requires contacting customer service. User options are somewhat restrictive and alternative paths require additional steps.,,,,,,,
Toys R Us,4,2,2,3,2,13,50,"The website has a generally fair presentation with minor elements of dark patterns. The asymmetry score reflects some prominence given to sales, but choices are still reasonably balanced. There are minor elements where information could be more transparent, but overall, the design does not heavily manipulate or restrict the user.",3,4,5,6,2,20,"The website employs dark patterns to a moderate extent. The design shows a mild bias towards promoting sales, slightly influencing user decisions. Information is relatively accessible, although some important details might require additional steps to uncover. The website is not highly restrictive in terms of user choices.",,,,,,,
Apple,5,2,3,4,5,19,50,"The website uses some dark patterns, particularly in the Asymmetric and Restrictive categories. The presentation could be perceived as slightly biased, and some information is delayed or requires additional steps to access.",3,3,4,5,2,17,"The website shows some use of dark patterns, particularly in Hides Information and Deceptive categories. The promotional message is a bit misleading with the asterisk, and some information about the offer may be obscured or require additional steps to access. Asymmetric presentation is present but not severe, and the overall restrictions on user choices are minimal.",,,,,,,
Microsoft Store,7,4,3,5,2,21,50,"The website features a noticeable bias in favor of accepting cookies with equal prominence given to the Accept and Reject buttons, although 'Manage cookies' provides detailed control. Some minor covert techniques are used to subtly influence user decisions. The presentation is mostly straightforward, with minimal deceptive information or significant restrictions. Certain information is a bit delayed but not crucially hidden.",8,4,6,5,5,28,"The website employs several dark patterns, with a particularly high score in the Asymmetric category. The choices presented for cookie preferences are biased, with the 'Accept' option more prominently placed. There is some deceptive wording regarding the necessity of optional cookies, and certain information is less accessible without additional steps.",5,4,3,6,3,21,"The website employs some dark patterns, with a moderate score in the Hides Information category. Choices regarding cookie management are somewhat asymmetric, with the 'Accept' button being more prominent. The website is somewhat covert in its influence, but not overly deceptive or restrictive."
Dell,,,,,,,,,6,5,4,7,4,26,"The website demonstrates several mild to moderate dark patterns. There is a noticeable bias in the presentation of cookie options, with 'Accept All' visually more prominent than 'Decline All', slight covert techniques, and some important cookie-related information somewhat delayed or obscured.",,,,,,,
HP,,,,,,,,,6,4,4,5,3,22,"The website exhibits some dark patterns, with a noticeable bias in the accept all cookies option, though they are relatively mild. The presentation of cookie choices is somewhat asymmetric, and some information might require additional steps to access.",7,6,5,4,3,25,"The website displays some usage of dark patterns, especially in the Asymmetric and Covert categories. The 'Accept All Cookies' button is more prominently displayed than the 'Cookies Settings' button, subtly pushing users towards a particular choice. However, restrictive elements and hidden information are less pronounced."
